id,question,correctanswer,answera,answerb,answerc,answerd
100242,property allows dissolve many substances,a,polar molecule,contains hydrogen atoms,high melting point,low density
100243,storms transport form rain starts comes,a,sun,oceans,earth,clouds
100244,some students were tour exploring inside cave while they realized heard echo every spoke caused occur,d,accumulation sound waves,diffraction sound waves,refraction sound waves,reflection sound waves
100245,muscle ability store release large amounts energy function served,b,exchanging gases,moving parts,absorbing nutrients,sending nerve impulses
100246,living planet contain molecules consisting element carbon common things because ability,b,form double triple bonds elements,easily form molecular bonds variety elements,form hard mineral substances like diamonds,shapes colors sizes
100247,must occur clouds form,c,erosion,conduction,condensation,precipitation
100248,major mistake experimental design,a,control group,type pot,received,too much data collected three weeks
100249,element stars mostly composed,b,helium,hydrogen,iron,radiation
100250,describes atom,a,atoms smallest particles matter still elements,atoms composed elements fixed ratio,atoms broken down physical means subatomic particles,atoms tiny packets produce beam
100251,continental drift describes movement continents over earth long history evidence continent movements seen studying,b,fossils layers igneous,fossils many layers sedimentary,writings ancient civilizations,patterns weather erosion
100252,cells basic unit structure function living describes greatest difference baby gorilla adult,a,adult baby,baby simpler adult,baby smaller adult,adult types baby
100253,magnesium sodium highly reactive metals periodic table elements properties similar,a,highly reactive metals like lithium potassium,less reactive metals like gold silver,highly reactive nonmetals like chlorine oxygen,almost non reactive gases like helium neon
100254,scientist conducts experiment growth rate specific needed data relied upon,c,investigation must many variables,equipment investigation must,results investigation must recorded accurately,investigation needs performed well known
100255,able produce proteins required certain conditions,c,synthesizing genes,altering existing genes,expressing existing genes,mutating genes
100256,crucial piece evidence supporting theory continents ocean basins formed,c,gravitational forces result fusion small atoms,differentiated iron core expresses magnetic properties,currents redistribute heat unevenly heated liquid,stream charged ions disperses lightweight gases
100257,tool useful calculate volume glass prism,a,ruler,scale,voltmeter,thermometer
100258,in outbreak influenza infected people over world tens millions those died pneumonic plague spread quickly through city surat india killing describes events,c,both outbreaks were pandemics,both outbreaks were epidemics,influenza outbreak was pandemic plague epidemic,influenza outbreak was epidemic plague pandemic
100259,alicia gives her brother push while he seated swing she finds after few seconds needs again keep him going reason slows down because mechanical converted,d,potential heats air,moves swing,kinetic makes swing slow down,thermal released atmosphere
100260,david tries lift box realizes heavier he expected his recognizes extra weight tells muscles work harder,b,circulatory,nervous,respiratory,skeletal
100261,fossils older rock layers may top younger,b,fossils been petrified,faulting occurred,older layers igneous,fossils very large
